prefName,shortName
北海道,hokkaido
青森県,aomori
秋田県,akita
山形県,yamagata
岩手県,iwate
宮城県,miyagi
福島県,fukushima
東京都,tokyo
神奈川県,kanagawa
埼玉県,saitama
千葉県,chiba
栃木県,tochigi
茨城県,ibaraki
群馬県,gunma
愛知県,aichi
岐阜県,gifu
静岡県,shizuoka
三重県,mie
新潟県,niigata
山梨県,yamanashi
長野県,nagano
石川県,ishikawa
富山県,toyama
福井県,fukui
大阪府,osaka
兵庫県,hyogo
京都府,kyoto
滋賀県,shiga
奈良県,nara
和歌山県,wakayama
岡山県,okayama
広島県,hiroshima
鳥取県,tottori
島根県,shimane
山口県,yamaguchi
香川県,kagawa
徳島県,tokushima
愛媛県,ehime
高知県,kochi
福岡県,fukuoka
佐賀県,saga
長崎県,nagasaki
熊本県,kumamoto
大分県,oita
宮城県,miyazaki
鹿児島県,kagoshima
沖縄県,okinawa
