prefName,shortName,prefCd
北海道,hokkaido,1
青森,aomori,2
秋田,akita,5
山形,yamagata,6
岩手,iwate,3
宮城,miyagi,4
福島,fukushima,7
東京,tokyo,13
神奈川,kanagawa,14
埼玉,saitama,11
千葉,chiba,12
栃木,tochigi,9
茨城,ibaraki,8
群馬,gunma,10
愛知,aichi,23
岐阜,gifu,21
静岡,shizuoka,22
三重,mie,24
新潟,niigata,15
山梨,yamanashi,19
長野,nagano,20
石川,ishikawa,17
富山,toyama,16
福井,fukui,18
大阪,osaka,27
兵庫,hyogo,28
京都,kyoto,26
滋賀,shiga,25
奈良,nara,29
和歌山,wakayama,30
岡山,okayama,33
広島,hiroshima,34
鳥取,tottori,31
島根,shimane,32
山口,yamaguchi,35
香川,kagawa,37
徳島,tokushima,36
愛媛,ehime,38
高知,kochi,39
福岡,fukuoka,40
佐賀,saga,41
長崎,nagasaki,42
熊本,kumamoto,43
大分,oita,44
宮崎,miyazaki,45
鹿児島,kagoshima,46
沖縄,okinawa,47
